"","SourceFile","Directory","FileName","Rings_visible","Rings_comb","Flag","comments","Molt","Score","date"
"332","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0247.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0247.JPG","1","RGGL","0","","1",5,2021-11-10
"333","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0287.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0287.JPG","1","RWBG","0","","1",5,2021-11-10
"334","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0354.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0354.JPG","1","RBBL","0","","1",3,2021-11-10
"335","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0520.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0520.JPG","1","RBBL","0","","1",3,2021-11-10
"336","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0534.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0534.JPG","1","RYBB_F","1","","1",6,2021-11-10
"337","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0535.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0535.JPG","1","RLYL_F","1","FLAG ON RIGHT","1",5,2021-11-10
"338","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0550.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0550.JPG","1","RRLY","0","","1",5,2021-11-11
"339","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0555.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0555.JPG","1","RRGO","0","","1",6,2021-11-11
"340","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0556.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0556.JPG","1","RRBG","0","","1",5,2021-11-11
"341","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0566.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0566.JPG","1","RRBG","0","","1",5,2021-11-11
"342","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0570.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0570.JPG","1","RGGL","0","","1",5,2021-11-11
"343","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0578.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0578.JPG","1","RBBR","0","","1",6,2021-11-11
"344","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0581.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0581.JPG","1","RBBR","0","","1",6,2021-11-11
"345","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0606.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0606.JPG","1","RBLY_F","1","","1",4,2021-11-11
